state,store_address,store_name,city_name,phone_number,latitude,longitude
Maryland,"19 Shipping Place,Baltimore",19 Shipping Place,Baltimore,tel:+14102822796,39.26484,-76.492566
Maryland,"1950 N Broadway,Baltimore",1950 N Broadway,Baltimore,tel:+14106626665,39.315031,-76.577429
Maryland,"2149 Patapsco Ave.,Baltimore",2149 Patapsco Ave.,Baltimore,tel:+14105252994,39.26613,-76.623803
Maryland,"22 S. Greene Street,Baltimore",22 S. Greene Street,Baltimore,tel:+14103282397,39.294832,-76.622229
Maryland,"2309 Cleanleigh Dr,Baltimore",2309 Cleanleigh Dr,Baltimore,tel:+14108820052,39.393417,-76.534228
Maryland,"2401 Liberty Heights Ave,Baltimore",2401 Liberty Heights Ave,Baltimore,tel:+14104628962,39.345241,-76.683566
Maryland,"2401 West Belvedere Avenue,Baltimore",2401 West Belvedere Avenue,Baltimore,tel:+14106016556,39.345241,-76.683566
Maryland,"2407 Frederick Ave,Baltimore",2407 Frederick Ave,Baltimore,tel:+14106245258,39.28283,-76.654
Maryland,"2500 W North Ave,Baltimore",2500 W North Ave,Baltimore,tel:+14109511236,39.310595,-76.671717
Maryland,"2552 Quarry Lake Drive,Baltimore",2552 Quarry Lake Drive,Baltimore,tel:+14104155206,39.373191,-76.670003
Maryland,"2623 Washington Blvd,Baltimore",2623 Washington Blvd,Baltimore,tel:+14106245489,39.26613,-76.623803
Maryland,"2701 Rolling Rd,Baltimore",2701 Rolling Rd,Baltimore,tel:+14434293507,39.334931,-76.776589
Maryland,"2725 Sisson St,Baltimore",2725 Sisson St,Baltimore,tel:+14104672111,39.329817,-76.639408
Maryland,"2801 Edmondson Ave,Baltimore",2801 Edmondson Ave,Baltimore,tel:+14102330050,39.28283,-76.654
Maryland,"300 North Charles St,Baltimore",300 North Charles St,Baltimore,tel:+14105450688,39.294832,-76.622229
Maryland,"3009-A Eastern Blvd,Baltimore",3009-A Eastern Blvd,Baltimore,tel:+14105743434,39.34728,-76.39008
Maryland,"31 South Calvert Street,Baltimore",31 South Calvert Street,Baltimore,tel:+14102448873,39.296526,-76.607016
Maryland,"3107 Hammons Ferry Road,Baltimore",3107 Hammons Ferry Road,Baltimore,tel:+14102422610,39.23997,-76.67945
Maryland,"3232 Greenmount Ave.,Baltimore",3232 Greenmount Ave.,Baltimore,tel:+14108780694,39.330107,-76.601451
Maryland,"3233 St Paul St,Baltimore",3233 St Paul St,Baltimore,tel:+14102350050,39.330107,-76.601451
Maryland,"3601 Dolfield Ave.,Baltimore",3601 Dolfield Ave.,Baltimore,tel:+14106647100,39.345241,-76.683566
Maryland,"37 E 25th St,Baltimore",37 E 25th St,Baltimore,tel:+14106625762,39.330107,-76.601451
Maryland,"37 S. Charles Street,Baltimore",37 S. Charles Street,Baltimore,tel:+14109625548,39.296526,-76.607016
Maryland,"3705 Falls Rd,Baltimore",3705 Falls Rd,Baltimore,tel:+14103664800,39.329817,-76.639408
Maryland,"4206 Frankford Ave,Baltimore",4206 Frankford Ave,Baltimore,tel:+14104856392,39.338428,-76.538877
Maryland,"4600-D Northern Parkway,Baltimore",4600-D Northern Parkway,Baltimore,tel:+14103585803,39.345241,-76.683566
Maryland,"4628 Wilkens Ave,Baltimore",4628 Wilkens Ave,Baltimore,tel:+14102424633,39.284242,-76.691404
Maryland,"4901 Erdman Ave,Baltimore",4901 Erdman Ave,Baltimore,tel:+14105633963,39.30229,-76.564482
Maryland,"5112 Sinclair Lane,Baltimore",5112 Sinclair Lane,Baltimore,tel:+14103259181,39.338428,-76.538877
Maryland,"5209 Windsor Mill Road,Baltimore",5209 Windsor Mill Road,Baltimore,tel:+14104484979,39.324167,-76.719484
Maryland,"5250 Campbell Blvd,Baltimore",5250 Campbell Blvd,Baltimore,tel:+14109339303,39.388421,-76.48355
Maryland,"5311 Baltimore National Pike,Baltimore",5311 Baltimore National Pike,Baltimore,tel:+14104558396,39.284242,-76.691404
Maryland,"5417 Reisterstown Rd,Baltimore",5417 Reisterstown Rd,Baltimore,tel:+14105851085,39.345241,-76.683566
Maryland,"55 Market Place,Baltimore",55 Market Place,Baltimore,tel:+14107796361,39.296526,-76.607016
Maryland,"5520 Reisterstown Rd.,Baltimore",5520 Reisterstown Rd.,Baltimore,tel:+14103188955,39.345241,-76.683566
Maryland,"5638 Baltimore National Pike,Baltimore",5638 Baltimore National Pike,Baltimore,tel:+14104550557,39.272857,-76.747741
Maryland,"5650 The Alameda,Baltimore",5650 The Alameda,Baltimore,tel:+14103234661,39.367099,-76.589171
Maryland,"600 N Wolfe St,Baltimore",600 N Wolfe St,Baltimore,tel:+14105025098,0,0
Maryland,"6109 Belair Road,Baltimore",6109 Belair Road,Baltimore,tel:+14104889388,39.338428,-76.538877
Maryland,"632 S. Broadway,Baltimore",632 S. Broadway,Baltimore,tel:+14438737033,39.2872,-76.591953
Maryland,"6322 Kenwood Ave.,Baltimore",6322 Kenwood Ave.,Baltimore,tel:+14438680999,39.341939,-76.495443
Maryland,"6350 York Road,Baltimore",6350 York Road,Baltimore,tel:+14438417190,39.368561,-76.614898
Maryland,"6500 D Eastern Avenue,Baltimore",6500 D Eastern Avenue,Baltimore,tel:+14437596890,39.27486,-76.542833
Maryland,"6616 Holabird Ave,Baltimore",6616 Holabird Ave,Baltimore,tel:+14106333260,39.27486,-76.542833
Maryland,"6638 Security Blvd,Baltimore",6638 Security Blvd,Baltimore,tel:+14102651307,39.324167,-76.719484
Maryland,"6900 Dogwood Rd,Baltimore",6900 Dogwood Rd,Baltimore,tel:+14434366111,39.334931,-76.776589
Maryland,"6901 Security Boulevard,Baltimore",6901 Security Boulevard,Baltimore,tel:+14432727973,39.334931,-76.776589
Maryland,"7031 Liberty Road,Baltimore",7031 Liberty Road,Baltimore,tel:+14433487857,39.324167,-76.719484
Maryland,"7050 Friendship Road,Baltimore",7050 Friendship Road,Baltimore,tel:+14108504040,39.17428,-76.671514
Maryland,"750 Concourse Circle,Baltimore",750 Concourse Circle,Baltimore,tel:+14106302481,39.34728,-76.39008
Maryland,"7698-A Belair Rd,Baltimore",7698-A Belair Rd,Baltimore,tel:+14106656091,39.388421,-76.48355
Maryland,"7839 Eastern Avenue,Baltimore",7839 Eastern Avenue,Baltimore,tel:+14102841599,39.27486,-76.542833
Maryland,"8037 Liberty Rd,Baltimore",8037 Liberty Rd,Baltimore,tel:+14109227827,39.334931,-76.776589
Maryland,"827 N Charles Street,Baltimore",827 N Charles Street,Baltimore,tel:+14102441468,39.294832,-76.622229
Maryland,"8335 Harford Road,Baltimore",8335 Harford Road,Baltimore,tel:+14108824532,39.393417,-76.534228
Maryland,"845 E Fort Ave,Baltimore",845 E Fort Ave,Baltimore,tel:+14105390511,39.26613,-76.623803
Maryland,"900 Canton Ave,Baltimore",900 Canton Ave,Baltimore,tel:+14103682960,39.284242,-76.691404
Massachusetts,"68-70 Auburn Street,Auburn",68-70 Auburn Street,Auburn,tel:+15084078997,42.198708,-71.846006
Michigan,"1 Campus Drive,Allendale",1 Campus Drive,Allendale,tel:+16163313127,42.975656,-85.939287
Michigan,"6175 Lake Michigan Dr,Allendale",6175 Lake Michigan Dr,Allendale,tel:+16168957820,42.975656,-85.939287
Minnesota,"228 East Main Street,Anoka",228 East Main Street,Anoka,tel:+17632053914,45.288298,-93.431102
Minnesota,"3603 Round Lake Blvd,Anoka",3603 Round Lake Blvd,Anoka,tel:+17634211983,45.288298,-93.431102
Mississippi,"14880 US Highway 49,Belzoni",14880 US Highway 49,Belzoni,tel:+16622470037,33.18606,-90.484577
Missouri,"4852 South Hwy FF,Battlefield",4852 South Hwy FF,Battlefield,tel:+14177715752,37.121719,-93.394691
Montana,"215 North Main,Conrad",215 North Main,Conrad,tel:+14062780195,48.187163,-111.898576
Nebraska,"308 W. Main Street,Battle Creek",308 W. Main Street,Battle Creek,tel:+14026751485,41.963891,-97.609897
Nevada,"1550 E Newlands Dr,Fernley",1550 E Newlands Dr,Fernley,tel:+17758356677,39.565417,-119.174165
Nevada,"470 E Main Street,Fernley",470 E Main Street,Fernley,tel:+17755756200,39.565417,-119.174165
New Hampshire,"45 Central Ave,Dover",45 Central Ave,Dover,tel:+16033435907,43.190658,-70.887655
New Hampshire,"892 Central Avenue,Dover",892 Central Avenue,Dover,tel:+16037409666,43.190658,-70.887655
New Jersey,"300 Wooton St,Boonton",300 Wooton St,Boonton,tel:+19733341122,40.932771,-74.417304
New Mexico,"2009 W Pierce,Carlsbad",2009 W Pierce,Carlsbad,tel:+15752341393,32.311474,-104.431928
New Mexico,"2401 S Canal St,Carlsbad",2401 S Canal St,Carlsbad,tel:+15756288890,32.311474,-104.431928
New Mexico,"2521 S Canal St,Carlsbad",2521 S Canal St,Carlsbad,tel:+15758853608,32.311474,-104.431928
New York,"The New York State Thruway,Angola",The New York State Thruway,Angola,tel:+17165490020,42.63313,-79.021745
North Carolina,"1226 East Dixie Drive,Ashboro",1226 East Dixie Drive,Ashboro,tel:+13366262355,35.728464,-79.786527
North Dakota,"113 1st Street North,Ellendale",113 1st Street North,Ellendale,tel:+18008884848,46.089591,-98.581639
Ohio,"104 S Main St,Antwerp",104 S Main St,Antwerp,tel:+14192582363,41.192303,-84.733158
Oklahoma,"228 Odor St,Arcadia",228 Odor St,Arcadia,tel:+14053962754,35.685355,-97.327459
Oregon,"19745 Baker Rd,Bend",19745 Baker Rd,Bend,tel:+15413890503,44.000626,-121.233812
Oregon,"515 NE Bellevue Dr,Bend",515 NE Bellevue Dr,Bend,tel:+15413301155,44.112338,-121.20634
Oregon,"61292 Highway 97,Bend",61292 Highway 97,Bend,tel:+15413833961,44.000626,-121.233812
Oregon,"62929 N Hwy 97,Bend",62929 N Hwy 97,Bend,tel:+15413888847,44.112338,-121.20634
Pennsylvania,"801 W Centre St,Ashland",801 W Centre St,Ashland,tel:+15708751782,40.751575,-76.360586
Rhode Island,"99 Fortin Rd,Kingston",99 Fortin Rd,Kingston,tel:+14017894490,41.478083,-71.524717
South Carolina,"860 Parris Island Gateway,Beaufort",860 Parris Island Gateway,Beaufort,tel:+18435251551,32.445112,-80.752875
South Carolina,"Hwy 21,Beaufort",Hwy 21,Beaufort,tel:+18435223130,32.457441,-80.717905
South Dakota,"411 N Hwy 77,Dell Rapids",411 N Hwy 77,Dell Rapids,tel:+16054286075,43.8409,-96.717205
Tennessee,"2813-2815 Bartlett Blvd.,Bartlett",2813-2815 Bartlett Blvd.,Bartlett,tel:+19016569120,35.174957,-89.859879
Tennessee,"6490 Memphis Arlington,Bartlett",6490 Memphis Arlington,Bartlett,tel:+19014465199,35.238915,-89.848589
Tennessee,"8070 Hwy 64,Bartlett",8070 Hwy 64,Bartlett,tel:+19013836515,35.212893,-89.794288
Texas,"310 Highway 67 W,Alvarado",310 Highway 67 W,Alvarado,tel:+18177835954,32.414937,-97.200076
Utah,"282 W Parrish Ln,Centerville",282 W Parrish Ln,Centerville,tel:+18012950999,40.932087,-111.884033
Vermont,"159 Pearl St,Essex Junction",159 Pearl St,Essex Junction,tel:+18028729669,44.538624,-73.050223
Virginia,"109 N Washington Hwy,Ashland",109 N Washington Hwy,Ashland,tel:+18043680255,37.759696,-77.48187
Virginia,"11670 Lakeridge Parkway,Ashland",11670 Lakeridge Parkway,Ashland,tel:+18047983663,37.759696,-77.48187
Virginia,"9523 Kings Charter Drive,Ashland",9523 Kings Charter Drive,Ashland,tel:+18045501725,37.759696,-77.48187
Washington,"1 Bellis Fair Pky,Bellingham",1 Bellis Fair Pky,Bellingham,tel:+13606476697,48.798606,-122.445693
Washington,"105 Samish Way,Bellingham",105 Samish Way,Bellingham,tel:+13606712861,48.75094,-122.501286
Washington,"1310 Lakeway Dr,Bellingham",1310 Lakeway Dr,Bellingham,tel:+13609334635,48.696127,-122.413538
Washington,"1317 W Bakerview Rd,Bellingham",1317 W Bakerview Rd,Bellingham,tel:+13607388879,48.798606,-122.445693
Washington,"1920 King Street,Bellingham",1920 King Street,Bellingham,tel:+13607151661,48.75094,-122.501286
Washington,"3011 Cinema Place,Bellingham",3011 Cinema Place,Bellingham,tel:+13605436976,48.798606,-122.445693
Washington,"3123 Old Fairhaven Pkwy,Bellingham",3123 Old Fairhaven Pkwy,Bellingham,tel:+13603895233,48.75094,-122.501286
Washington,"3212 NW Ave.,Bellingham",3212 NW Ave.,Bellingham,tel:+13606475494,48.75094,-122.501286
Washington,"4152 Meridian,Bellingham",4152 Meridian,Bellingham,tel:+13607159190,48.798606,-122.445693
Washington,"504 High Street,Bellingham",504 High Street,Bellingham,tel:+18008884848,48.75094,-122.501286
Washington,"516 High St - Viking Union,Bellingham",516 High St - Viking Union,Bellingham,tel:+13606502340,48.75094,-122.501286
Washington,"5927 Guide Meridian,Bellingham",5927 Guide Meridian,Bellingham,tel:+13606565192,48.798606,-122.445693
Washington DC,"2201 C Street NW,Washington, DC",2201 C Street NW,"Washington, DC",tel:+13017428350,38.898889,-77.055456
West Virginia,"2497 Valley Rd,Berkeley Springs",2497 Valley Rd,Berkeley Springs,tel:+13042587884,39.548748,-78.22147
Wisconsin,"2500 East Lake Shore Drive,Ashland",2500 East Lake Shore Drive,Ashland,tel:+17156824005,46.552396,-90.870143
Wisconsin,"901 W Lakeshore Dr,Ashland",901 W Lakeshore Dr,Ashland,tel:+17156828884,46.552396,-90.870143
Wyoming,"168 Front Street,Evanston",168 Front Street,Evanston,tel:+13074443118,41.016132,-110.64493
Wyoming,"1920 Harrison Drive,Evanston",1920 Harrison Drive,Evanston,tel:+13077894304,41.016132,-110.64493
Wyoming,"289 Bear River Dr,Evanston",289 Bear River Dr,Evanston,tel:+13077835906,41.016132,-110.64493
